lineId,shortName,description,yearMonth,totalDistanceKm,totalTimeHours,averageSpeedKmH,validSegments,skippedSegments,status
-1,"TESTGT1","NA",2019-05,0.004651,0.060555556,0.076800,1,11,OK
8,"TESTGT2","NA",2019-05,0.000000,0.000000000,0.000000,0,0,NO_DATA
131,"T31","Terminal Paso del Comercio - Universidades",2019-05,19066.452520,1097.321666667,17.375445,206566,5871,OK
140,"T40","Terminal Andrés Sanín - Centro",2019-05,8311.637057,537.815277777,15.454446,105358,3230,OK
142,"T42","Pizamos - Centro - Terminal",2019-05,12725.313771,736.689722222,17.273641,156536,8780,OK
150,"T50","Estación Nuevo Latír - Centro",2019-05,6251.240203,425.058333333,14.706782,90421,4520,OK
217,"P17","P.U.J - Icesi - Estación Unidad Deportiva",2019-05,2572.030390,163.370277778,15.743564,25196,626,OK
243,"TESTGT3","NA",2019-05,2177.887260,140.739166667,15.474635,28342,1295,OK
251,"P51","Pízamos - Universidades",2019-05,0.000000,0.000000000,0.000000,0,0,NO_DATA
271,"P71","Caney - Estación Unidad Deportiva",2019-05,4275.715827,329.048333333,12.994188,72065,4083,OK
272,"P72","Estación Capri- Centro Empresa",2019-05,9428.868579,659.476944444,14.297495,130497,5314,OK
282,"P82","Terminal Calipso - Terminal Menga",2019-05,4711.997572,345.173055555,13.651116,77699,5995,OK
283,"P83","Terminal Calipso - Terminal Paso de Comercio",2019-05,0.000000,0.000000000,0.000000,0,0,NO_DATA
302,"A02","Atenas - Zoológico - Estación San Bosco",2019-05,4088.588048,328.885277778,12.431654,66973,3845,OK
303,"A03","Nacional - Santa librada",2019-05,1280.021358,108.657500000,11.780331,23387,1488,OK
304,"A04","Bella Vista - Estación Manzana del saber",2019-05,2218.387690,157.217777778,14.110285,34620,5076,OK
305,"A05","Av. De Las Américas - C.A.M - La Portada",2019-05,2366.687701,177.418611111,13.339568,39728,1648,OK
306,"A06","Aguacatal - Estación San Bosco",2019-05,4215.628636,304.159166667,13.859943,70335,5079,OK
311,"A11","Icesi - P.U.J - Estación Universidades",2019-05,3519.717150,307.665277778,11.440086,59145,2174,OK
318,"A18","Hacienda El Castillo - Estación Universidades",2019-05,4724.525406,252.287777778,18.726731,42113,2089,OK
321,"A21","Ciudadela Floralia - Terminal Menga",2019-05,2227.796008,172.165277778,12.939868,36636,1480,OK
